Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street,Location
190210396,2019-04-25,1720.0,2,Rampart,245,34,M,W,17.0,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210398,2019-04-25,1700.0,2,Rampart,251,27,F,B,17.0,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,CORONADO,7TH                          ST,"(34.059, -118.2824)"
190210400,2019-04-25,1700.0,2,Rampart,245,33,M,B,17.0,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,600 S  CORONADO                     ST,,"(34.062, -118.2804)"
190210401,2019-04-25,1620.0,2,Rampart,245,62,M,H,17.0,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210402,2019-04-27,2125.0,2,Rampart,245,56,M,B,17.0,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210451,2019-04-27,1440.0,2,Rampart,271,31,M,H,17.0,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,OLYMPIC,PARK VIEW,"(34.0524, -118.2835)"
190210452,2019-04-27,1530.0,2,Rampart,256,29,M,H,17.0,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,600    LITTLE                       ST,,"(34.0551, -118.2727)"
190210453,2019-04-27,1440.0,2,Rampart,271,36,M,H,17.0,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,OLYMPIC,PARK VIEW,"(34.0524, -118.2835)"
190210454,2019-04-27,1530.0,2,Rampart,256,45,M,H,17.0,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,600    LITTLE                       ST,,"(34.0551, -118.2727)"
190409105,2019-04-26,1640.0,4,Hollenbeck,426,26,F,H,17.0,Liquor Laws,M,25658(A)BP,SALE/ETC OF ALCOHOLIC BEVERAGE TO MINOR,4900    HUNTINGTON                   DR,,"(34.0867, -118.1768)"
190409217,2019-04-27,1645.0,4,Hollenbeck,421,68,M,H,18.0,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,BROADWAY,DALY                         ST,"(34.0736, -118.2156)"
190910041,2019-04-15,1500.0,9,Van Nuys,943,30,M,H,17.0,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,TYRONE                       AV,BURBANK                      BL,"(34.1721, -118.4443)"
190910048,2019-04-27,1140.0,9,Van Nuys,984,42,M,O,18.0,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,VENTURA                      BL,CEDROS                       AV,"(34.1517, -118.4531)"
190910049,2019-04-27,1445.0,9,Van Nuys,941,29,M,O,17.0,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,15200    MARTHA                       ST,,"(34.1731, -118.464)"
191008773,2019-04-20,1830.0,10,West Valley,1049,28,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,BURBANK                      BL,WOODLEY                      AV,"(34.1717, -118.4757)"
191909578,2019-04-16,2145.0,19,Mission,1971,18,M,H,17.0,Liquor Laws,M,25662BP,MINOR POSSESS ALCOHOL,9000    ORION                        AV,,"(34.2338, -118.472)"
191909579,2019-04-18,2120.0,19,Mission,1966,35,M,H,18.0,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,VAN NUYS,PLUMMER,"(34.2427, -118.4502)"
191909581,2019-04-18,2020.0,19,Mission,1966,32,M,H,18.0,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,PLUMMER,VAN NUYS,"(34.2427, -118.4502)"
191909582,2019-04-18,2100.0,19,Mission,1966,32,M,H,18.0,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,PLUMMER,VAN NUYS,"(34.2427, -118.4502)"
191909583,2019-04-18,2051.0,19,Mission,1966,29,M,H,18.0,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,VAN NUYS,PLUMMER,"(34.2427, -118.4502)"
191909588,2019-04-26,1720.0,19,Mission,1982,48,M,H,18.0,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,PARTHENIA,COLUMBUS,"(34.2288, -118.4655)"
191909589,2019-04-26,1825.0,19,Mission,1985,49,M,W,18.0,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,VAN NUYS,ROSCOE,"(34.2216, -118.4488)"
191909590,2019-04-25,2145.0,19,Mission,1984,21,M,H,18.0,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,KESTER,PARTHENIA,"(34.2282, -118.4575)"
191909591,2019-04-25,2145.0,19,Mission,1984,21,M,H,18.0,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,KESTER,PARTHENIA,"(34.2282, -118.4575)"
192109242,2019-04-22,1510.0,21,Topanga,2155,39,M,W,17.0,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,6000    TOPANGA CANYON               BL,,"(34.1828, -118.6102)"
5511360,2019-01-03,116.0,7,Wilshire,717,39,M,B,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,400 N  LA BREA                      AV,,"(34.0783, -118.3441)"
5523557,2019-01-18,150.0,7,Wilshire,784,35,M,B,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,WASHINGTON                   BL,REDONDO                      ST,"(34.0412, -118.3528)"
5551051,2019-02-19,1130.0,1,Central,122,38,F,W,22.0,Driving Under Influence,M,23152(B)VC,DRUNK DRIVING .10 OR ABOVE,100 N  HILL                         ST,,"(34.0572, -118.2481)"
5574862,2019-03-16,1150.0,13,Newton,1353,19,M,H,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,CENTRAL,VERNON,"(34.0039, -118.2565)"
5579475,2019-03-21,2135.0,17,Devonshire,1755,25,M,H,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,DEVONSHIRE,LINDLEY,"(34.2573, -118.5273)"
5583313,2019-03-26,2140.0,10,West Valley,1024,33,F,H,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,VANOWEN,GEYSER,"(34.1939, -118.5423)"
5583360,2019-03-26,2345.0,17,Devonshire,1792,35,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,PARTHENIA,CORBIN,"(34.2282, -118.5623)"
5585437,2019-03-29,50.0,6,Hollywood,627,35,M,H,16.0,Narcotic Drug Laws,F,4573PC,BRING/SEND NARC/CONT SUBS/ALCOHOL TO JAIL,WESTERN,MARATHON,"(34.1227, -118.3181)"
5586037,2019-03-29,1855.0,5,Harbor,555,39,F,H,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,900 W  SUMMERLAND                   AV,,"(33.7476, -118.2967)"
5588404,2019-04-01,1705.0,9,Van Nuys,929,17,M,H,18.0,Drunkeness,M,647(F)PC,"DISORD CONDUCT:UI/DRUG, ALCOHOL",KITTRIDGE,GREENBUSH,"(34.1903, -118.4257)"
5592832,2019-04-06,35.0,11,Northeast,1144,61,M,H,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,HYPERION,TRACY,"(34.1041, -118.2734)"
5593430,2019-04-06,1650.0,12,77th Street,1253,58,M,B,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,WESTERN,76TH,"(33.9709, -118.309)"
5594389,2019-04-08,135.0,17,Devonshire,1723,38,F,H,22.0,Driving Under Influence,F,23550(A)VC,DUI W/PRIOR SPEC CONVICTIONS,RINALDI,DE SOTO,"(34.27, -118.5886)"
5594093,2019-04-07,2015.0,1,Central,182,35,F,B,16.0,Narcotic Drug Laws,F,4573PC,BRING/SEND NARC/CONT SUBS/ALCOHOL TO JAIL,OLIVE,PICO                         BL,"(34.0383, -118.2633)"
5599838,2019-04-13,1700.0,9,Van Nuys,971,23,M,W,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,VENTURA                      FY,SEPULVEDA                    BL,"(34.1593, -118.4662)"
5600614,2019-04-14,1740.0,9,Van Nuys,915,22,M,H,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,SHERMAN,TYRONE,"(34.2012, -118.4444)"
5600704,2019-04-14,1843.0,17,Devonshire,1787,31,F,W,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,NORDHOFF,ZELZAH,"(34.2357, -118.5231)"
5600903,2019-04-14,2235.0,4,Hollenbeck,443,40,M,H,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,1900    MARENGO                      ST,,"(34.0609, -118.2052)"
5604503,2019-04-18,1955.0,10,West Valley,1003,32,M,H,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,YOLANDA,KESWICK,"(34.2102, -118.5404)"
5604600,2019-04-18,2252.0,12,77th Street,1253,17,M,H,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,FLORENCE,LA SALLE,"(33.9746, -118.3057)"
5605790,2019-04-19,2345.0,3,Southwest,337,48,M,H,16.0,Narcotic Drug Laws,F,4573PC,BRING/SEND NARC/CONT SUBS/ALCOHOL TO JAIL,2900 S  NORMANDIE                    AV,,"(34.0291, -118.3002)"
5606530,2019-04-20,1930.0,6,Hollywood,647,17,M,H,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,GOWER,HOLLYWOOD                    BL,"(34.1017, -118.3224)"
5607296,2019-04-22,320.0,10,West Valley,1028,22,F,W,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,BALBOA                       BL,VENTURA                      FY,"(34.1939, -118.4967)"
5608518,2019-04-23,1000.0,11,Northeast,1181,37,M,H,22.0,Driving Under Influence,M,23153(B)VC,DUI .08 ALCOHOL CAUSING INJURY,SUNSET                       BL,ALVARADO                     ST,"(34.0776, -118.2635)"
5609743,2019-04-24,1540.0,1,Central,127,52,M,H,22.0,Driving Under Influence,M,23152(B)VC,DRUNK DRIVING .10 OR ABOVE,100 N  LOS ANGELES                  ST,,"(34.0515, -118.2424)"
5610833,2019-04-25,1715.0,3,Southwest,363,46,M,B,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,CRENSHAW                     BL,39TH                         ST,"(34.0146, -118.3354)"
5610953,2019-04-25,2120.0,19,Mission,1961,23,M,H,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,SEPULVEDA,PLUMMER,"(34.2428, -118.4675)"
5611184,2019-04-25,1950.0,1,Central,192,47,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,SANTA MONICA                 FY,FIGUEROA,"(34.0367, -118.2706)"
5611305,2019-04-25,2320.0,16,Foothill,1667,25,M,W,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,9900    SUNLAND                      BL,,"(34.2498, -118.3468)"
5611342,2019-04-26,105.0,16,Foothill,1611,43,F,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,11600    HERRICK                      AV,,"(34.281, -118.4252)"
5611925,2019-04-26,1845.0,14,Pacific,1453,69,M,W,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,GLENCOE                      AV,WASHINGTON                   BL,"(33.9914, -118.4442)"
5611953,2019-04-26,1945.0,18,Southeast,1844,33,M,H,22.0,Driving Under Influence,M,23152(B)VC,DRUNK DRIVING .10 OR ABOVE,AVALON                       BL,109TH                        ST,"(33.9373, -118.2652)"
5611987,2019-04-26,2200.0,9,Van Nuys,984,37,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,VENTURA                      BL,CEDROS                       AV,"(34.1517, -118.4531)"
5612028,2019-04-26,2225.0,11,Northeast,1177,39,M,H,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,FIGUEROA,CYPRESS,"(34.0864, -118.219)"
5612039,2019-04-26,2348.0,20,Olympic,2024,34,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,WESTERN,6TH,"(34.0635, -118.3091)"
5612262,2019-04-26,2335.0,20,Olympic,2024,42,M,H,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,WESTERN,6TH,"(34.0635, -118.3091)"
5612280,2019-04-27,1.0,1,Central,162,34,F,H,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,FIGUEROA,7TH,"(34.0494, -118.2599)"
5612290,2019-04-27,25.0,20,Olympic,2024,19,M,H,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,WESTERN,6TH,"(34.0635, -118.3091)"
5612283,2019-04-26,2100.0,4,Hollenbeck,466,34,F,H,16.0,Narcotic Drug Laws,F,4573PC,BRING/SEND NARC/CONT SUBS/ALCOHOL TO JAIL,1ST                          ST,MOTT                         ST,"(34.0421, -118.206)"
5612391,2019-04-27,306.0,11,Northeast,1124,30,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,FLETCHER,LARGA,"(34.1179, -118.2451)"
5612411,2019-04-27,230.0,6,Hollywood,645,37,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,1700 N  HIGHLAND                     AV,,"(34.1006, -118.3417)"
5612412,2019-04-27,345.0,7,Wilshire,711,23,F,W,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,KINGS                        RD,ROSEWOOD                     AV,"(34.0802, -118.3722)"
5612487,2019-04-27,830.0,10,West Valley,1021,64,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,CORBIN                       AV,SHERMAN                      WY,"(34.201, -118.5623)"
5612415,2019-04-27,305.0,21,Topanga,2118,36,F,W,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,8200    WINNETKA                     AV,,"(34.2162, -118.5799)"
5612724,2019-04-27,1815.0,12,77th Street,1243,59,M,B,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,HARVARD,64TH,"(33.9814, -118.3068)"
5612746,2019-04-27,1850.0,13,Newton,1347,39,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,VERNON,LONG BEACH,"(34.0039, -118.2434)"
5612766,2019-04-27,1902.0,20,Olympic,2076,31,M,H,22.0,Driving Under Influence,M,21200.5VC,DUI ALCOHOL/DRUGS ON BICYCLE,PICO,FEDORA,"(34.0472, -118.2979)"
5612770,2019-04-27,1920.0,11,Northeast,1127,27,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,5700    FAYETTE                      ST,,"(34.1199, -118.1935)"
5612773,2019-04-27,1910.0,13,Newton,1393,37,M,H,22.0,Driving Under Influence,F,23153(A)VC,DUI ALCOHOL CAUSING INJURY,64TH                         ST,MAIN,"(33.9814, -118.2739)"
5612795,2019-04-27,2040.0,21,Topanga,2128,45,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,ROSCOE,DE SOTO,"(34.212, -118.5754)"
5612820,2019-04-27,2100.0,18,Southeast,1842,29,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,IMPERIAL,BROADWAY,"(33.931, -118.2783)"
5612823,2019-04-27,1945.0,18,Southeast,1824,18,M,H,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,CENTRAL,92ND                         ST,"(33.947, -118.2594)"
5612832,2019-04-27,2036.0,18,Southeast,1804,21,M,H,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,88TH                         ST,CENTRAL,"(33.9574, -118.2564)"
5612872,2019-04-27,2148.0,13,Newton,1309,40,M,O,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,BOYLE,SANTA MONICA                 FY,"(34.0241, -118.232)"
5612875,2019-04-27,2235.0,21,Topanga,2115,50,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,8200    TOPANGA CANYON               BL,,"(34.2176, -118.606)"
5612876,2019-04-27,2130.0,20,Olympic,2033,26,M,H,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,WESTERN                      AV,8TH                          ST,"(34.0581, -118.3091)"
5612877,2019-04-27,2154.0,20,Olympic,2062,21,M,B,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,ARLINGTON,OLYMPIC,"(34.0526, -118.3163)"
5612882,2019-04-27,2110.0,15,N Hollywood,1523,43,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,6200    ALCOVE                       AV,,"(34.1831, -118.4128)"
5612891,2019-04-27,2211.0,21,Topanga,2114,25,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,ROSCOE,TOPANGA CANYON,"(34.2197, -118.606)"
5618393,2019-05-03,232.0,10,West Valley,1047,22,M,H,22.0,Driving Under Influence,M,23152(B)VC,DRUNK DRIVING .10 OR ABOVE,WHITE OAK                    AV,VENTURA                      FY,"(34.1713, -118.5185)"
5612976,2019-04-28,56.0,9,Van Nuys,974,60,M,O,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,VAN NUYS                     BL,VENTURA                      FY,"(34.1569, -118.4487)"
190210698,2019-05-01,1740.0,2,Rampart,245,32,M,H,17.0,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
5619444,2019-05-04,50.0,1,Central,162,20,M,W,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,9TH                          ST,FIGUEROA,"(34.0462, -118.2628)"
190112342,2019-04-28,1808.0,1,Central,163,49,M,H,17.0,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,8TH,BROADWAY,"(34.0445, -118.2558)"
5618237,2019-05-02,2050.0,12,77th Street,1265,20,F,H,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,MANCHESTER,BUDLONG,"(33.96, -118.2959)"
5617068,2019-05-01,2155.0,21,Topanga,2136,23,M,H,22.0,Driving Under Influence,F,23152(A)VC,DUI ALCOHOL/DRUG W/PRIORS,SHERMAN                      WY,DEERING,"(34.201, -118.5967)"
5613866,2019-04-28,2340.0,19,Mission,1977,32,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,WOODMAN,CHASE,"(34.228, -118.4344)"
5618214,2019-05-02,2055.0,12,77th Street,1265,56,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,MANCHESTER,BUDLONG,"(33.96, -118.2959)"
191411311,2019-04-28,1645.0,14,Pacific,1431,31,M,W,17.0,Liquor Laws,I,25620(A)BP,DRINKING ALCOHOL,OCEAN FRONT                  WK,HORIZON,"(33.988, -118.4745)"
5618300,2019-05-02,2250.0,12,77th Street,1257,22,M,H,22.0,Driving Under Influence,M,23152(F)VC,DUI OF ANY DRUG,FIGUEROA,77,"(33.9693, -118.285)"
5617455,2019-05-02,111.0,3,Southwest,329,24,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,2ND                          ST,BEAUDRY                      AV,"(34.0246, -118.2772)"
190112485,2019-04-25,2005.0,1,Central,156,57,M,B,17.0,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,5TH                          ST,SAN JULIAN,"(34.0446, -118.245)"
5613199,2019-04-28,448.0,15,N Hollywood,1565,39,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,RIVERSIDE                    AV,COLDWATER CA                 AV,"(34.1493, -118.3759)"
190112665,2019-05-01,1503.0,1,Central,158,54,M,B,17.0,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,6TH,GLADYS,"(34.0403, -118.2421)"
5615096,2019-04-30,13.0,19,Mission,1924,26,F,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,SAN FERNANDO,LAUREL CANYON,"(34.2905, -118.4581)"
5613915,2019-04-28,2213.0,2,Rampart,219,30,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,HOLLYWOOD                    FY,GLENDALE                     AV,"(34.0677, -118.252)"
190809301,2019-05-03,1610.0,8,West LA,853,65,M,B,18.0,Drunkeness,M,41.27(C)LAM,DRINKING IN PUBLIC,SANTA MONICA,SAWTELLE,"(34.0462, -118.4496)"
190112600,2019-05-01,1600.0,1,Central,166,60,M,B,17.0,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,6TH,SAN JULIAN,"(34.0428, -118.2461)"
5619386,2019-05-03,2055.0,21,Topanga,2134,75,M,B,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,SHERMAN                      WY,SHOUP                        AV,"(34.201, -118.6147)"
5615082,2019-04-30,36.0,14,Pacific,1406,37,M,B,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,CULVER                       BL,MARINA                       FY,"(34.024, -118.409)"
5613493,2019-04-28,1140.0,9,Van Nuys,935,22,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,14400    ERWIN                        ST,,"(34.1837, -118.4465)"
5614052,2019-04-29,910.0,9,Van Nuys,935,47,M,O,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,14400    ERWIN                        ST,,"(34.1837, -118.4465)"
5618907,2019-05-03,1235.0,13,Newton,1323,24,M,H,22.0,Driving Under Influence,M,23152(B)VC,DRUNK DRIVING .10 OR ABOVE,TRINITY,25TH                         ST,"(34.0219, -118.2571)"
5613560,2019-04-28,1135.0,4,Hollenbeck,453,31,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,1600    BRIDGE                       ST,,"(34.0527, -118.2183)"
190112595,2019-04-30,1625.0,1,Central,162,27,M,H,17.0,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,800 W  7TH                          ST,,"(34.0487, -118.2588)"
5618089,2019-05-02,1720.0,6,Hollywood,600,54,M,H,22.0,Driving Under Influence,M,21200.5VC,DUI ALCOHOL/DRUGS ON BICYCLE,PICO,ALVARADO,"(34.0461, -118.2801)"
190112490,2019-04-25,1450.0,1,Central,158,60,M,H,17.0,Liquor Laws,M,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,7TH                          ST,GLADYS,"(34.0387, -118.2439)"
5618255,2019-05-02,2213.0,12,77th Street,1265,60,F,B,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,MANCHESTER,BUDLONG,"(33.96, -118.2959)"
5615110,2019-04-30,50.0,3,Southwest,329,49,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,FLOWER                       ST,29TH                         ST,"(34.0253, -118.2763)"
5613163,2019-04-28,200.0,15,N Hollywood,1569,34,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,10200    RIVERSIDE                    DR,,"(34.1522, -118.3527)"
5613205,2019-04-28,425.0,3,Southwest,309,31,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,W  23RD                         ST,FIGUEROA,"(34.0372, -118.276)"
5614169,2019-04-29,1200.0,13,Newton,1372,52,M,H,16.0,Narcotic Drug Laws,F,4573PC,BRING/SEND NARC/CONT SUBS/ALCOHOL TO JAIL,200 E  58TH                         ST,,"(33.9898, -118.272)"
5619459,2019-05-04,6.0,1,Central,162,32,F,O,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,9TH                          ST,FIGUEROA,"(34.0462, -118.2628)"
